"PC6","neighb_code","n_individuals","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","female","male","Western","Non_Western","Dutch","education_low","education_middle","education_high","n_households","household_avg_size","children","couples_with_children","couples_without_children","singleparents","singles","no_children","neighb_name"
"2531XW","BU05183638",23,2,4,8,7,2,10,13,8,8,7,6,8,7,13,1.77,6,4,0,1,8,17,"Moerwijk-Noord"
"2531XX","BU05183638",42,6,6,10,16,4,15,27,10,22,10,17,9,10,20,2.1,13,7,2,1,10,29,"Moerwijk-Noord"
"2531XZ","BU05183638",29,2,5,7,13,2,12,17,6,17,6,4,6,16,16,1.81,5,4,4,0,8,24,"Moerwijk-Noord"
"2532AA","BU05183639",39,10,8,10,8,3,23,16,2,26,11,11,10,9,16,2.44,17,4,2,4,6,22,"Moerwijk-Zuid"
"2532AB","BU05183639",35,6,3,10,9,7,18,17,4,24,7,11,9,9,21,1.67,11,1,2,4,14,24,"Moerwijk-Zuid"
"2532AC","BU05183639",25,4,4,13,1,3,12,13,1,13,11,6,8,7,13,1.92,7,4,1,1,7,18,"Moerwijk-Zuid"
"2532AD","BU05183639",37,10,4,20,3,0,19,18,4,26,7,7,8,12,15,2.47,14,6,2,1,6,23,"Moerwijk-Zuid"
"2532AE","BU05183639",52,10,9,19,11,3,27,25,4,39,9,10,20,12,25,2.08,16,6,5,3,11,36,"Moerwijk-Zuid"
"2532AG","BU05183639",38,9,6,16,6,1,13,25,2,26,10,8,14,8,18,2.11,13,6,1,4,7,25,"Moerwijk-Zuid"
"2532AH","BU05183639",71,27,7,27,9,1,34,37,11,46,14,19,10,19,27,2.63,30,10,4,5,8,41,"Moerwijk-Zuid"
"2532AJ","BU05183639",69,17,10,19,17,6,31,38,6,42,21,25,14,17,29,2.38,26,12,2,2,13,43,"Moerwijk-Zuid"
"2532AL","BU05183639",50,16,7,14,8,5,25,25,6,34,10,14,15,9,20,2.5,21,8,1,3,8,29,"Moerwijk-Zuid"
"2532AM","BU05183639",38,6,7,15,9,1,19,19,4,23,11,13,14,7,20,1.9,9,4,5,2,9,29,"Moerwijk-Zuid"
"2532AN","BU05183639",48,13,4,18,8,5,22,26,4,28,16,11,14,12,21,2.29,16,8,3,3,7,32,"Moerwijk-Zuid"
"2532AP","BU05183639",52,14,3,16,8,11,26,26,4,32,16,17,10,11,22,2.36,19,6,5,4,7,33,"Moerwijk-Zuid"
"2532AR","BU05183639",46,13,2,19,6,6,25,21,2,31,13,12,10,10,19,2.42,16,7,4,3,5,30,"Moerwijk-Zuid"
"2532AS","BU05183639",37,10,1,16,4,6,18,19,2,30,5,9,11,7,17,2.18,12,6,2,2,7,25,"Moerwijk-Zuid"
"2532AT","BU05183639",44,9,6,16,7,6,21,23,4,31,9,14,13,7,19,2.32,16,6,3,1,9,28,"Moerwijk-Zuid"
"2532AV","BU05183639",62,17,5,29,10,1,27,35,5,41,16,19,12,17,25,2.48,24,8,5,7,5,38,"Moerwijk-Zuid"
"2532AW","BU05183639",31,6,6,14,1,4,14,17,5,16,10,10,8,7,13,2.38,10,5,3,2,3,21,"Moerwijk-Zuid"
"2532AX","BU05183639",49,8,11,18,10,2,23,26,5,31,13,13,13,16,19,2.58,19,10,1,0,8,30,"Moerwijk-Zuid"
"2532AZ","BU05183639",75,19,6,26,17,7,38,37,6,51,18,26,16,18,35,2.14,28,9,3,9,14,47,"Moerwijk-Zuid"
"2532BA","BU05183639",60,14,8,27,6,5,33,27,6,34,20,15,18,14,25,2.4,20,10,5,2,8,40,"Moerwijk-Zuid"
"2532BB","BU05183639",43,5,6,17,11,4,21,22,3,26,14,13,18,9,20,2.15,13,7,3,1,9,30,"Moerwijk-Zuid"
"2532BC","BU05183639",28,9,4,11,2,2,17,11,1,19,8,8,5,7,13,2.15,10,4,1,1,7,18,"Moerwijk-Zuid"
"2532BD","BU05183639",36,9,3,15,8,1,19,17,3,28,5,7,13,11,16,2.25,12,6,2,2,6,24,"Moerwijk-Zuid"
"2532BE","BU05183639",20,4,3,5,4,4,12,8,2,16,2,7,7,3,10,2,4,2,4,1,3,16,"Moerwijk-Zuid"
"2532BG","BU05183639",49,11,4,25,8,1,21,28,5,33,11,11,15,14,23,2.13,16,8,2,1,12,33,"Moerwijk-Zuid"
"2532BH","BU05183639",36,8,4,18,3,3,17,19,3,23,10,3,13,13,18,2,11,6,1,1,10,25,"Moerwijk-Zuid"
"2532BJ","BU05183639",15,1,3,5,4,2,7,8,0,11,4,3,1,10,7,2.14,5,2,1,1,3,10,"Moerwijk-Zuid"
"2532BM","BU05183639",37,12,3,13,6,3,15,22,3,21,13,9,13,3,13,2.85,16,8,0,1,4,21,"Moerwijk-Zuid"
"2532BN","BU05183639",46,8,7,22,7,2,21,25,5,33,8,15,12,11,22,2.09,14,6,4,3,9,32,"Moerwijk-Zuid"
"2532BP","BU05183639",26,4,1,9,7,5,12,14,2,18,6,4,7,11,15,1.73,6,3,2,1,9,20,"Moerwijk-Zuid"
"2532BR","BU05183639",44,10,8,21,1,4,21,23,5,27,12,12,10,13,19,2.32,13,7,5,0,7,31,"Moerwijk-Zuid"
"2532BS","BU05183639",31,3,8,7,6,7,17,14,1,21,9,7,9,10,15,2.07,11,3,2,3,7,20,"Moerwijk-Zuid"
"2532BT","BU05183639",42,5,5,15,12,5,17,25,2,27,13,12,10,15,20,2.1,10,5,7,2,6,32,"Moerwijk-Zuid"
"2532BW","BU05183639",37,13,3,15,5,1,20,17,6,23,8,13,7,5,15,2.47,17,5,0,6,4,20,"Moerwijk-Zuid"
"2532BX","BU05183639",11,1,2,2,2,4,4,7,1,6,4,5,2,3,6,1.83,3,1,1,0,4,8,"Moerwijk-Zuid"
"2532BZ","BU05183639",10,3,1,3,3,0,5,5,2,5,3,2,2,3,4,2.5,5,1,0,2,1,5,"Moerwijk-Zuid"
"2532CA","BU05183638",36,10,3,13,8,2,18,18,9,19,8,11,7,9,18,2,14,3,1,5,9,22,"Moerwijk-Noord"
"2532CB","BU05183638",31,8,4,11,3,5,18,13,6,18,7,11,5,7,15,2.07,12,3,1,4,7,19,"Moerwijk-Noord"
"2532CC","BU05183638",42,13,3,17,6,3,21,21,5,24,13,14,6,10,21,2,16,5,0,3,13,26,"Moerwijk-Noord"
"2532CD","BU05183638",200,34,33,62,46,25,90,110,44,100,56,50,59,54,92,2.17,61,32,15,4,41,139,"Moerwijk-Noord"
"2532CE","BU05183638",53,7,8,21,12,5,28,25,10,31,12,19,11,16,30,1.77,14,6,3,2,19,39,"Moerwijk-Noord"
"2532CG","BU05183638",33,13,4,8,5,3,13,20,10,19,4,9,7,6,13,2.54,16,2,2,5,4,17,"Moerwijk-Noord"
"2532CH","BU05183638",69,11,12,24,12,10,39,30,14,33,22,20,16,23,36,1.92,19,7,7,6,16,50,"Moerwijk-Noord"
"2532CJ","BU05183638",62,12,4,22,19,5,27,35,14,35,13,16,11,24,29,2.14,20,9,4,4,12,42,"Moerwijk-Noord"
"2532CK","BU05183638",20,5,1,6,8,0,6,14,3,14,3,3,9,5,10,2,6,4,0,0,6,14,"Moerwijk-Noord"
"2532CL","BU05183638",83,19,7,25,21,11,40,43,18,40,25,26,21,22,39,2.13,28,11,5,7,16,55,"Moerwijk-Noord"
"2532CM","BU05183638",38,7,7,16,8,0,15,23,8,25,5,11,13,6,18,2.11,11,5,4,1,8,27,"Moerwijk-Noord"
"2532CN","BU05183638",46,8,4,18,9,7,18,28,12,23,11,16,11,11,25,1.84,10,5,6,1,13,36,"Moerwijk-Noord"
"2532CP","BU05183620",24,6,2,8,6,2,14,10,5,11,8,5,8,8,10,2.4,9,5,0,2,3,15,"Moerwijk-Oost"
"2532CR","BU05183620",36,11,3,11,10,1,14,22,6,19,11,13,9,6,15,2.4,16,5,0,2,8,20,"Moerwijk-Oost"
"2532CS","BU05183620",43,7,10,14,8,4,18,25,1,36,6,12,8,14,22,1.95,16,4,1,4,13,27,"Moerwijk-Oost"
"2532CT","BU05183620",104,20,8,48,16,12,50,54,21,61,22,28,25,34,60,1.73,27,11,6,5,38,77,"Moerwijk-Oost"
"2532CV","BU05183620",22,7,1,6,7,1,11,11,2,16,4,10,6,1,10,2.2,8,4,0,1,5,14,"Moerwijk-Oost"
"2532DA","BU05183639",64,15,8,25,11,5,33,31,9,40,15,16,17,18,29,2.21,22,10,3,6,10,42,"Moerwijk-Zuid"
"2532DB","BU05183639",92,24,12,33,16,7,43,49,11,52,29,31,17,22,40,2.3,32,15,5,3,17,60,"Moerwijk-Zuid"
"2532DC","BU05183639",35,6,4,15,6,4,10,25,0,25,10,10,10,9,18,1.94,10,5,2,0,11,25,"Moerwijk-Zuid"
"2532DD","BU05183639",44,11,5,22,4,2,18,26,6,30,8,15,8,12,24,1.83,12,4,4,3,13,32,"Moerwijk-Zuid"
"2532DE","BU05183639",74,17,7,29,13,8,34,40,6,47,21,26,17,15,34,2.18,23,9,8,5,12,51,"Moerwijk-Zuid"
"2532EA","BU05183639",57,11,11,17,12,6,26,31,7,36,14,8,19,17,24,2.38,20,12,1,1,10,37,"Moerwijk-Zuid"
"2532EB","BU05183639",21,5,5,5,5,1,10,11,3,11,7,6,7,3,9,2.33,9,2,1,2,4,12,"Moerwijk-Zuid"
"2532EC","BU05183639",40,10,5,14,9,2,23,17,7,26,7,6,13,14,19,2.11,14,5,2,4,8,26,"Moerwijk-Zuid"
"2532ED","BU05183639",41,8,5,15,11,2,19,22,3,27,11,12,14,9,17,2.41,15,7,2,2,6,26,"Moerwijk-Zuid"
"2532EE","BU05183639",52,15,7,25,5,0,26,26,5,35,12,9,10,19,22,2.36,22,8,0,5,9,30,"Moerwijk-Zuid"
"2532EG","BU05183639",33,5,5,12,10,1,17,16,4,25,4,9,12,6,18,1.83,9,4,2,1,11,24,"Moerwijk-Zuid"
"2532EH","BU05183639",47,9,7,20,8,3,19,28,2,33,12,18,15,8,23,2.04,14,5,5,2,11,33,"Moerwijk-Zuid"
"2532EJ","BU05183639",24,10,3,7,4,0,11,13,1,18,5,6,7,2,10,2.4,12,1,1,4,4,12,"Moerwijk-Zuid"
"2532EK","BU05183639",26,3,2,12,3,6,11,15,1,20,5,8,5,10,18,1.44,4,0,4,3,11,22,"Moerwijk-Zuid"
"2532EL","BU05183639",39,11,2,17,2,7,20,19,4,31,4,9,9,14,17,2.29,14,6,2,1,8,25,"Moerwijk-Zuid"
"2532EM","BU05183639",54,10,5,21,11,7,28,26,6,34,14,14,16,16,25,2.16,20,8,1,3,13,34,"Moerwijk-Zuid"
"2532EN","BU05183639",45,12,8,12,10,3,21,24,4,36,5,15,12,7,20,2.25,17,7,1,3,9,28,"Moerwijk-Zuid"
"2532EP","BU05183639",48,16,2,20,5,5,21,27,5,30,13,13,11,8,23,2.09,18,7,0,3,13,30,"Moerwijk-Zuid"
"2532ER","BU05183639",47,12,8,8,10,9,23,24,2,32,13,11,16,12,20,2.35,17,6,4,3,7,30,"Moerwijk-Zuid"
"2532ES","BU05183639",57,12,8,26,9,2,26,31,3,41,13,18,16,13,24,2.38,20,8,5,4,7,37,"Moerwijk-Zuid"
"2532ET","BU05183620",31,7,4,9,11,0,14,17,7,16,8,11,8,6,14,2.21,13,4,0,4,6,18,"Moerwijk-Oost"
"2532EV","BU05183620",28,5,3,10,7,3,15,13,4,15,9,10,7,7,16,1.75,6,3,3,1,9,22,"Moerwijk-Oost"
"2532EW","BU05183620",60,12,10,19,15,4,32,28,7,39,14,15,18,16,24,2.5,24,10,2,4,8,36,"Moerwijk-Oost"
"2532EX","BU05183620",19,5,1,9,4,0,9,10,3,11,5,7,4,3,11,1.73,5,1,2,2,6,14,"Moerwijk-Oost"
"2532RA","BU05183638",33,6,4,11,10,2,15,18,7,17,9,10,8,10,17,1.94,9,3,4,3,7,24,"Moerwijk-Noord"
"2532RB","BU05183638",26,5,1,13,5,2,10,16,5,19,2,11,7,3,15,1.73,6,3,2,1,9,20,"Moerwijk-Noord"
"2532RC","BU05183638",42,12,7,14,7,2,22,20,5,25,12,16,8,7,18,2.33,18,5,1,4,8,24,"Moerwijk-Noord"
"2532RD","BU05183638",38,7,5,11,10,5,18,20,7,19,12,11,12,10,19,2,11,5,3,2,9,27,"Moerwijk-Noord"
"2532RE","BU05183638",18,3,2,5,4,4,9,9,0,10,8,10,1,4,11,1.64,5,2,0,0,9,13,"Moerwijk-Noord"
"2532RG","BU05183637",385,81,45,106,103,50,182,203,45,251,89,104,100,111,185,2.08,119,58,23,15,89,266,"Moerwijk-West"
"2532RH","BU05183637",36,6,2,12,5,11,15,21,5,22,9,11,6,14,19,1.89,9,5,3,2,9,27,"Moerwijk-West"
"2532RJ","BU05183637",36,8,3,17,7,1,15,21,6,26,4,10,11,9,22,1.64,9,2,3,3,14,27,"Moerwijk-West"
"2532RK","BU05183637",50,13,4,16,16,1,23,27,4,37,9,9,17,12,20,2.5,18,8,4,1,7,32,"Moerwijk-West"
"2532RL","BU05183637",21,7,0,7,4,3,11,10,4,8,9,3,4,8,8,2.62,7,3,3,0,2,14,"Moerwijk-West"
"2532RM","BU05183637",47,8,7,14,13,5,21,26,6,33,8,13,14,11,25,1.88,14,6,2,4,13,33,"Moerwijk-West"
"2532RN","BU05183637",54,13,4,20,8,9,28,26,6,37,11,17,13,12,28,1.93,15,8,3,1,16,39,"Moerwijk-West"
"2532RP","BU05183637",24,4,2,4,9,5,12,12,1,18,5,8,9,3,17,1.41,4,2,1,0,14,20,"Moerwijk-West"
"2532RR","BU05183637",53,12,5,18,13,5,18,35,7,38,8,17,13,14,25,2.12,18,7,3,3,12,35,"Moerwijk-West"
"2532RS","BU05183637",32,9,2,13,5,3,15,17,6,16,10,13,7,9,16,2,11,4,1,3,8,21,"Moerwijk-West"
"2532RT","BU05183637",54,15,2,18,15,4,28,26,3,39,12,13,16,13,26,2.08,18,5,5,4,12,36,"Moerwijk-West"
"2532RV","BU05183637",38,8,3,14,11,2,21,17,4,26,8,12,8,11,22,1.73,11,3,2,4,13,27,"Moerwijk-West"
"2532RW","BU05183637",31,7,5,10,6,3,16,15,5,20,6,10,8,6,17,1.82,10,3,1,4,9,21,"Moerwijk-West"
"2532RX","BU05183637",17,4,2,6,2,3,9,8,5,9,3,4,6,5,12,1.42,4,0,1,2,9,13,"Moerwijk-West"
"2532SP","BU05183639",36,8,4,14,5,5,17,19,1,22,13,8,11,12,14,2.57,14,6,2,2,4,22,"Moerwijk-Zuid"
"2532SR","BU05183639",21,3,6,8,3,1,7,14,2,12,7,8,5,4,11,1.91,6,4,0,1,6,15,"Moerwijk-Zuid"
"2532ST","BU05183639",32,6,5,10,7,4,12,20,2,24,6,11,10,5,16,2,10,3,3,2,8,22,"Moerwijk-Zuid"
"2532SV","BU05183639",24,4,1,11,5,3,10,14,1,16,7,8,5,8,14,1.71,5,4,1,0,9,19,"Moerwijk-Zuid"
"2532SW","BU05183639",30,6,3,15,5,1,13,17,2,21,7,7,9,9,16,1.88,8,5,1,0,10,22,"Moerwijk-Zuid"
"2532SZ","BU05183639",133,33,14,50,27,9,60,73,17,86,30,34,37,35,55,2.42,51,21,6,6,22,82,"Moerwijk-Zuid"
"2532TA","BU05183639",7,3,0,4,0,0,3,4,1,5,1,1,0,3,3,2.33,3,1,0,1,1,4,"Moerwijk-Zuid"
"2532TB","BU05183639",36,5,6,11,9,5,21,15,5,21,10,12,8,12,21,1.71,9,4,2,3,12,27,"Moerwijk-Zuid"
"2532TC","BU05183639",43,15,3,16,6,3,20,23,4,30,9,7,13,11,16,2.69,19,5,3,3,5,24,"Moerwijk-Zuid"
"2532TD","BU05183639",51,15,6,16,11,3,33,18,5,37,9,14,13,14,19,2.68,23,9,0,3,7,28,"Moerwijk-Zuid"
"2532TE","BU05183639",15,3,1,4,5,2,7,8,0,11,4,5,4,3,10,1.5,4,0,1,2,7,11,"Moerwijk-Zuid"
"2532TK","BU05183639",70,14,11,25,16,4,31,39,6,50,14,18,9,26,32,2.19,24,11,3,3,15,46,"Moerwijk-Zuid"
"2532TL","BU05183639",1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,"Moerwijk-Zuid"
"2532TR","BU05183639",33,6,7,10,6,4,19,14,3,19,11,15,8,7,17,1.94,10,3,3,3,8,23,"Moerwijk-Zuid"
"2532TS","BU05183639",24,6,3,8,7,0,15,9,2,17,5,8,3,7,11,2.18,9,3,1,2,5,15,"Moerwijk-Zuid"
"2532TT","BU05183639",34,11,3,10,6,4,13,21,4,22,8,6,10,8,16,2.12,13,5,0,2,9,21,"Moerwijk-Zuid"
"2532TV","BU05183639",21,2,1,11,6,1,8,13,4,13,4,4,6,8,11,1.91,5,3,2,0,6,16,"Moerwijk-Zuid"
"2532TX","BU05183639",12,1,4,3,4,0,7,5,3,6,3,4,6,2,6,2,3,2,1,0,3,9,"Moerwijk-Zuid"
"2532TZ","BU05183639",49,8,6,17,11,7,21,28,2,26,21,18,17,7,21,2.33,16,7,5,2,7,33,"Moerwijk-Zuid"
"2532VA","BU05183639",59,11,8,19,12,9,23,36,6,40,13,14,15,20,27,2.19,19,8,5,4,10,40,"Moerwijk-Zuid"
"2532VB","BU05183639",19,3,0,9,2,5,8,11,1,11,7,5,4,8,12,1.58,3,1,3,1,7,16,"Moerwijk-Zuid"
"2532VC","BU05183639",54,11,8,19,14,2,24,30,9,37,8,14,13,18,23,2.35,19,9,3,3,8,35,"Moerwijk-Zuid"
"2532VD","BU05183639",41,8,5,13,8,7,19,22,6,23,12,17,8,10,21,1.95,13,5,2,4,10,28,"Moerwijk-Zuid"
"2532VE","BU05183639",11,1,3,3,2,2,5,6,2,7,2,4,2,3,7,1.57,3,1,0,0,6,8,"Moerwijk-Zuid"
"2532VG","BU05183639",6,1,0,1,2,2,4,2,1,3,2,2,1,2,2,3,2,1,1,0,0,4,"Moerwijk-Zuid"
"2532VH","BU05183639",27,7,4,10,6,0,11,16,4,12,11,6,6,8,11,2.45,11,4,1,1,5,16,"Moerwijk-Zuid"
"2532VJ","BU05183639",58,12,5,22,8,11,25,33,3,37,18,18,13,15,27,2.15,17,10,4,2,11,41,"Moerwijk-Zuid"
"2532VP","BU05183639",46,8,9,13,13,3,20,26,7,32,7,14,12,11,21,2.19,14,8,3,1,9,32,"Moerwijk-Zuid"
"2532VR","BU05183639",32,12,1,9,8,2,16,16,1,24,7,6,8,12,13,2.46,13,5,1,3,4,19,"Moerwijk-Zuid"
"2532VS","BU05183639",51,8,6,20,11,6,19,32,5,31,15,16,10,18,25,2.04,14,5,7,3,10,37,"Moerwijk-Zuid"
"2532VT","BU05183639",11,2,2,4,1,2,6,5,1,9,1,3,5,1,7,1.57,3,0,1,2,4,8,"Moerwijk-Zuid"
"2532VV","BU05183639",30,7,1,10,9,3,15,15,0,18,12,6,10,8,14,2.14,9,5,2,0,7,21,"Moerwijk-Zuid"
"2532VW","BU05183639",47,14,2,16,10,5,23,24,2,27,18,10,12,13,21,2.24,17,7,2,4,8,30,"Moerwijk-Zuid"
"2532VX","BU05183639",58,14,10,18,13,3,28,30,7,39,12,20,15,14,27,2.15,21,8,2,6,11,37,"Moerwijk-Zuid"
"2532VZ","BU05183639",48,16,6,16,8,2,20,28,3,31,14,12,8,14,18,2.67,19,11,0,1,6,29,"Moerwijk-Zuid"
"2532XH","BU05183639",44,10,5,12,10,7,15,29,2,31,11,10,12,13,18,2.44,15,8,3,1,6,29,"Moerwijk-Zuid"
"2532XJ","BU05183639",27,7,5,7,7,1,13,14,1,20,6,5,4,12,12,2.25,10,4,1,2,5,17,"Moerwijk-Zuid"
"2532XK","BU05183639",48,11,8,19,8,2,27,21,3,32,13,16,9,14,19,2.53,16,6,7,3,3,32,"Moerwijk-Zuid"
"2532XL","BU05183639",41,15,2,13,11,0,22,19,3,26,12,7,8,13,17,2.41,17,7,0,3,7,24,"Moerwijk-Zuid"
"2532XM","BU05183639",50,11,5,23,9,2,26,24,4,33,13,11,17,10,21,2.38,17,10,2,1,8,33,"Moerwijk-Zuid"
"2532XN","BU05183639",31,8,3,10,5,5,16,15,2,19,10,11,7,6,13,2.38,11,6,1,1,5,20,"Moerwijk-Zuid"
"2532XP","BU05183639",37,5,5,19,5,3,14,23,3,25,9,9,14,10,18,2.06,10,5,4,1,8,27,"Moerwijk-Zuid"
"2532XR","BU05183639",35,9,3,13,7,3,17,18,1,26,8,8,9,8,16,2.19,12,5,2,1,8,23,"Moerwijk-Zuid"
"2532XS","BU05183639",39,9,7,16,6,1,20,19,3,27,9,9,11,12,18,2.17,15,5,1,3,9,24,"Moerwijk-Zuid"
"2532XT","BU05183639",55,8,9,21,11,6,25,30,4,31,20,16,16,14,29,1.9,12,9,5,1,14,43,"Moerwijk-Zuid"
"2532XV","BU05183639",30,2,8,10,5,5,14,16,0,21,9,11,10,7,16,1.88,7,4,3,1,8,23,"Moerwijk-Zuid"
"2532XW","BU05183639",25,5,4,9,5,2,15,10,3,15,7,8,5,8,14,1.79,6,5,0,0,9,19,"Moerwijk-Zuid"
"2532XX","BU05183639",30,8,6,8,6,2,15,15,3,21,6,11,9,4,13,2.31,12,5,0,3,5,18,"Moerwijk-Zuid"
"2532XZ","BU05183639",33,10,4,10,3,6,15,18,1,25,7,10,7,7,11,3,15,5,2,3,1,18,"Moerwijk-Zuid"
"2533AA","BU05183489",25,6,2,7,8,2,15,10,0,13,12,7,6,6,12,2.08,8,3,2,1,6,17,"Morgenstond-Oost"
"2533AB","BU05183489",8,1,2,4,1,0,2,6,1,3,4,1,3,3,6,1.33,1,1,0,0,5,7,"Morgenstond-Oost"
"2533AC","BU05183489",16,2,4,4,4,2,7,9,3,8,5,5,3,6,7,2.29,5,3,1,0,3,11,"Morgenstond-Oost"
"2533AE","BU05183489",10,1,1,3,3,2,4,6,3,5,2,5,4,0,5,2,3,2,0,0,3,7,"Morgenstond-Oost"
"2533AG","BU05183489",42,11,3,13,10,5,22,20,4,24,14,6,9,15,20,2.1,15,6,1,3,10,27,"Morgenstond-Oost"
"2533AH","BU05183489",32,7,0,9,11,5,16,16,4,17,11,6,8,11,20,1.6,7,1,4,3,12,25,"Morgenstond-Oost"
"2533AJ","BU05183489",36,6,4,12,8,6,17,19,6,14,16,14,10,6,23,1.57,8,3,2,3,15,28,"Morgenstond-Oost"
"2533AK","BU05183489",33,6,4,11,9,3,13,20,5,21,7,9,8,10,18,1.83,7,4,4,1,9,26,"Morgenstond-Oost"
"2533AL","BU05183489",52,9,7,16,16,4,27,25,7,27,18,14,15,13,28,1.86,16,4,4,5,15,36,"Morgenstond-Oost"
"2533AM","BU05183489",455,71,46,144,128,66,223,232,55,253,147,118,133,132,236,1.93,117,52,50,17,117,338,"Morgenstond-Oost"
"2533AP","BU05183489",15,2,0,4,1,8,7,8,1,5,9,3,5,5,9,1.67,3,1,2,1,5,12,"Morgenstond-Oost"
"2533AR","BU05183536",25,1,1,2,5,16,13,12,4,4,17,11,8,5,20,1.25,1,1,3,0,16,24,"Zuiderpark"
"2533AS","BU05183536",40,1,2,2,10,25,25,15,1,5,34,18,10,12,30,1.33,2,1,7,1,21,38,"Zuiderpark"
"2533AT","BU05183536",30,1,1,4,8,16,14,16,3,4,23,7,13,10,24,1.25,2,1,3,1,19,28,"Zuiderpark"
"2533AV","BU05183536",32,1,1,1,9,20,16,16,1,4,27,9,9,13,24,1.33,2,2,4,0,18,30,"Zuiderpark"
"2533AW","BU05183536",24,1,0,1,9,13,16,8,1,3,20,10,5,8,19,1.26,1,0,4,1,14,23,"Zuiderpark"
"2533AX","BU05183489",25,3,5,11,6,0,11,14,2,16,7,8,9,6,15,1.67,7,1,2,4,8,18,"Morgenstond-Oost"
"2533AZ","BU05183489",12,2,1,4,4,1,6,6,2,8,2,2,4,4,8,1.5,2,1,1,0,6,10,"Morgenstond-Oost"
"2533BA","BU05183489",10,2,1,4,0,3,4,6,1,5,4,4,4,1,6,1.67,2,1,1,0,4,8,"Morgenstond-Oost"
"2533BB","BU05183489",117,22,14,29,35,17,56,61,9,70,38,34,33,28,61,1.92,36,15,5,5,36,81,"Morgenstond-Oost"
"2533BC","BU05183480",22,4,2,7,2,7,11,11,6,9,7,8,7,5,9,2.44,8,4,1,1,3,14,"Morgenstond-Zuid"
"2533BD","BU05183480",34,10,0,7,6,11,19,15,4,17,13,8,11,6,16,2.12,12,3,3,3,7,22,"Morgenstond-Zuid"
"2533BE","BU05183480",36,9,3,9,13,2,20,16,6,20,10,6,12,11,19,1.89,11,5,1,2,11,25,"Morgenstond-Zuid"
"2533BH","BU05183480",34,5,3,16,6,4,15,19,4,20,10,9,10,11,18,1.89,8,3,5,2,8,26,"Morgenstond-Zuid"
"2533BJ","BU05183480",25,6,2,11,3,3,11,14,5,11,9,8,7,4,12,2.08,8,3,2,1,6,17,"Morgenstond-Zuid"
"2533BK","BU05183480",14,6,1,5,2,0,7,7,5,6,3,6,4,0,4,3.5,7,3,0,0,1,7,"Morgenstond-Zuid"
"2533BL","BU05183480",56,11,8,21,10,6,27,29,5,37,14,10,13,21,30,1.87,16,5,5,3,17,40,"Morgenstond-Zuid"
"2533BM","BU05183480",8,0,1,3,4,0,3,5,2,5,1,3,1,4,5,1.6,0,0,3,0,2,8,"Morgenstond-Zuid"
"2533BN","BU05183480",9,1,0,3,3,2,6,3,2,6,1,2,1,5,6,1.5,2,1,0,0,5,7,"Morgenstond-Zuid"
"2533BP","BU05183480",22,4,2,8,5,3,15,7,4,11,7,6,8,5,12,1.83,5,2,3,2,5,17,"Morgenstond-Zuid"
"2533BR","BU05183480",72,16,8,28,11,9,37,35,11,44,17,20,22,16,32,2.25,26,10,4,6,12,46,"Morgenstond-Zuid"
"2533BS","BU05183480",19,3,1,4,6,5,9,10,4,9,6,7,3,6,10,1.9,5,3,1,1,5,14,"Morgenstond-Zuid"
"2533BT","BU05183480",20,6,1,7,4,2,14,6,8,9,3,5,2,7,10,2,7,2,1,2,5,13,"Morgenstond-Zuid"
"2533BV","BU05183480",21,4,0,12,4,1,12,9,4,11,6,9,3,6,11,1.91,4,3,3,1,4,17,"Morgenstond-Zuid"
"2533BW","BU05183480",19,3,3,7,6,0,6,13,2,13,4,5,8,3,9,2.11,6,4,0,1,4,13,"Morgenstond-Zuid"
"2533CA","BU05183639",52,12,7,22,9,2,23,29,6,39,7,12,13,14,25,2.08,18,6,3,3,13,34,"Moerwijk-Zuid"
"2533CB","BU05183639",41,11,6,11,12,1,21,20,2,26,13,13,13,7,16,2.56,18,7,0,2,7,23,"Moerwijk-Zuid"
"2533CC","BU05183639",26,3,4,12,5,2,12,14,1,16,9,12,7,5,16,1.62,6,2,2,3,9,20,"Moerwijk-Zuid"
"2533CD","BU05183639",52,16,9,12,14,1,23,29,6,36,10,16,15,8,20,2.6,26,6,0,6,8,26,"Moerwijk-Zuid"
"2533CE","BU05183639",24,5,5,11,3,0,11,13,3,17,4,3,7,8,12,2,10,2,0,2,8,14,"Moerwijk-Zuid"
"2533CH","BU05183639",25,3,5,9,6,2,12,13,1,16,8,7,8,5,17,1.47,6,2,0,2,13,19,"Moerwijk-Zuid"
"2533CJ","BU05183639",31,10,4,9,7,1,18,13,4,21,6,8,11,4,12,2.58,14,5,0,3,4,17,"Moerwijk-Zuid"
"2533CK","BU05183639",22,6,1,9,2,4,11,11,1,18,3,4,8,5,11,2,7,4,0,1,6,15,"Moerwijk-Zuid"
"2533CL","BU05183639",24,4,3,10,4,3,12,12,2,14,8,5,6,11,12,2,6,4,2,0,6,18,"Moerwijk-Zuid"
"2533CM","BU05183638",55,14,6,17,12,6,28,27,8,36,11,11,21,14,27,2.04,20,6,2,5,14,35,"Moerwijk-Noord"
"2533CN","BU05183638",42,10,7,10,10,5,19,23,10,22,10,13,15,9,22,1.91,13,6,1,2,13,29,"Moerwijk-Noord"
