"","agent_ID","age_group","neighb_code","age"
"2159","Agent_2159","age_0_15","BU05183284",4
"68885","Agent_68885","age_15_25","BU05183638",17
"56080","Agent_56080","age_45_65","BU05183488",46
"37288","Agent_37288","age_25_45","BU05183398",43
"32999","Agent_32999","age_0_15","BU05183398",8
"60900","Agent_60900","age_25_45","BU05183489",31
"39875","Agent_39875","age_45_65","BU05183398",50
"27938","Agent_27938","age_25_45","BU05183396",40
"47715","Agent_47715","age_25_45","BU05183480",31
"2176","Agent_2176","age_0_15","BU05183284",11
"45140","Agent_45140","age_0_15","BU05183480",7
"46922","Agent_46922","age_25_45","BU05183480",38
"59063","Agent_59063","age_15_25","BU05183489",23
"55805","Agent_55805","age_45_65","BU05183488",58
"23000","Agent_23000","age_over65","BU05183387",93
"61925","Agent_61925","age_45_65","BU05183489",54
"23575","Agent_23575","age_over65","BU05183387",75
"53129","Agent_53129","age_25_45","BU05183488",28
"7761","Agent_7761","age_25_45","BU05183284",40
"3955","Agent_3955","age_25_45","BU05183284",27
"8987","Agent_8987","age_45_65","BU05183284",45
"72808","Agent_72808","age_45_65","BU05183638",50
"37238","Agent_37238","age_25_45","BU05183398",33
"9632","Agent_9632","age_45_65","BU05183284",50
"46762","Agent_46762","age_25_45","BU05183480",44
"66034","Agent_66034","age_45_65","BU05183620",62
"53938","Agent_53938","age_25_45","BU05183488",34
"4351","Agent_4351","age_25_45","BU05183284",44
"73502","Agent_73502","age_over65","BU05183638",93
"65953","Agent_65953","age_45_65","BU05183620",45
"41491","Agent_41491","age_over65","BU05183398",74
"13959","Agent_13959","age_over65","BU05183284",83
"51254","Agent_51254","age_0_15","BU05183488",11
"1733","Agent_1733","age_0_15","BU05183284",9
"72975","Agent_72975","age_45_65","BU05183638",48
"11303","Agent_11303","age_45_65","BU05183284",53
"63391","Agent_63391","age_over65","BU05183489",74
"33774","Agent_33774","age_0_15","BU05183398",13
"13707","Agent_13707","age_over65","BU05183284",79
"45898","Agent_45898","age_15_25","BU05183480",19
"76266","Agent_76266","age_25_45","BU05183639",42
"67504","Agent_67504","age_0_15","BU05183638",12
"19830","Agent_19830","age_25_45","BU05183387",44
"13874","Agent_13874","age_over65","BU05183284",66
"22514","Agent_22514","age_45_65","BU05183387",49
"7605","Agent_7605","age_25_45","BU05183284",43
"68244","Agent_68244","age_15_25","BU05183638",19
"35075","Agent_35075","age_15_25","BU05183398",21
"77274","Agent_77274","age_25_45","BU05183639",43
"22511","Agent_22511","age_45_65","BU05183387",58
"65944","Agent_65944","age_45_65","BU05183620",54
"44516","Agent_44516","age_0_15","BU05183480",1
"19678","Agent_19678","age_25_45","BU05183387",37
"46254","Agent_46254","age_25_45","BU05183480",37
"61235","Agent_61235","age_25_45","BU05183489",35
"46267","Agent_46267","age_25_45","BU05183480",34
"51705","Agent_51705","age_0_15","BU05183488",7
"49423","Agent_49423","age_45_65","BU05183480",64
"58762","Agent_58762","age_0_15","BU05183489",5
"5878","Agent_5878","age_25_45","BU05183284",41
"42940","Agent_42940","age_25_45","BU05183399",30
"57507","Agent_57507","age_over65","BU05183488",87
"71222","Agent_71222","age_25_45","BU05183638",37
"51896","Agent_51896","age_15_25","BU05183488",23
"61031","Agent_61031","age_25_45","BU05183489",32
"15329","Agent_15329","age_0_15","BU05183387",14
"56035","Agent_56035","age_45_65","BU05183488",47
"38698","Agent_38698","age_45_65","BU05183398",54
"36127","Agent_36127","age_25_45","BU05183398",29
"76896","Agent_76896","age_25_45","BU05183639",39
"35316","Agent_35316","age_25_45","BU05183398",34
"4754","Agent_4754","age_25_45","BU05183284",31
"78503","Agent_78503","age_over65","BU05183639",70
"12519","Agent_12519","age_over65","BU05183284",79
"70803","Agent_70803","age_25_45","BU05183638",40
"72410","Agent_72410","age_45_65","BU05183638",58
"67177","Agent_67177","age_0_15","BU05183638",14
"22290","Agent_22290","age_45_65","BU05183387",53
"24979","Agent_24979","age_0_15","BU05183396",13
"71453","Agent_71453","age_25_45","BU05183638",31
"53381","Agent_53381","age_25_45","BU05183488",36
"57875","Agent_57875","age_0_15","BU05183489",8
"42908","Agent_42908","age_15_25","BU05183399",23
"13428","Agent_13428","age_over65","BU05183284",72
"15750","Agent_15750","age_0_15","BU05183387",4
"10269","Agent_10269","age_45_65","BU05183284",55
"10974","Agent_10974","age_45_65","BU05183284",46
"4315","Agent_4315","age_25_45","BU05183284",39
"16778","Agent_16778","age_0_15","BU05183387",13
"59320","Agent_59320","age_15_25","BU05183489",22
"29832","Agent_29832","age_45_65","BU05183396",46
"36767","Agent_36767","age_25_45","BU05183398",40
"3517","Agent_3517","age_15_25","BU05183284",24
"33927","Agent_33927","age_0_15","BU05183398",4
"16236","Agent_16236","age_0_15","BU05183387",7
"57647","Agent_57647","age_over65","BU05183488",86
"66383","Agent_66383","age_45_65","BU05183620",53
"46894","Agent_46894","age_25_45","BU05183480",30
"55191","Agent_55191","age_45_65","BU05183488",46
"67924","Agent_67924","age_0_15","BU05183638",10
"31427","Agent_31427","age_over65","BU05183396",87
"2551","Agent_2551","age_15_25","BU05183284",21
"60006","Agent_60006","age_25_45","BU05183489",28
"76807","Agent_76807","age_25_45","BU05183639",34
"68964","Agent_68964","age_15_25","BU05183638",18
"23193","Agent_23193","age_over65","BU05183387",71
"35869","Agent_35869","age_25_45","BU05183398",40
"26321","Agent_26321","age_15_25","BU05183396",16
"7974","Agent_7974","age_25_45","BU05183284",34
"7728","Agent_7728","age_25_45","BU05183284",31
"20763","Agent_20763","age_45_65","BU05183387",55
"50331","Agent_50331","age_0_15","BU05183488",11
"29485","Agent_29485","age_45_65","BU05183396",63
"33658","Agent_33658","age_0_15","BU05183398",4
"23663","Agent_23663","age_over65","BU05183387",65
"1451","Agent_1451","age_0_15","BU05183284",5
"16625","Agent_16625","age_0_15","BU05183387",10
"11527","Agent_11527","age_45_65","BU05183284",52
"39993","Agent_39993","age_45_65","BU05183398",56
"54772","Agent_54772","age_25_45","BU05183488",43
"75259","Agent_75259","age_15_25","BU05183639",20
"56372","Agent_56372","age_45_65","BU05183488",60
"78025","Agent_78025","age_45_65","BU05183639",58
"27714","Agent_27714","age_25_45","BU05183396",35
"76400","Agent_76400","age_25_45","BU05183639",43
"48144","Agent_48144","age_45_65","BU05183480",61
"66673","Agent_66673","age_over65","BU05183620",78
"44742","Agent_44742","age_0_15","BU05183480",14
"38994","Agent_38994","age_45_65","BU05183398",58
"60049","Agent_60049","age_25_45","BU05183489",27
"64286","Agent_64286","age_15_25","BU05183620",20
"73626","Agent_73626","age_over65","BU05183638",73
"1836","Agent_1836","age_0_15","BU05183284",11
"14442","Agent_14442","age_over65","BU05183284",68
"36789","Agent_36789","age_25_45","BU05183398",30
"4039","Agent_4039","age_25_45","BU05183284",28
"17390","Agent_17390","age_15_25","BU05183387",20
"37907","Agent_37907","age_25_45","BU05183398",37
"9727","Agent_9727","age_45_65","BU05183284",60
"28141","Agent_28141","age_25_45","BU05183396",29
"49118","Agent_49118","age_45_65","BU05183480",62
"57089","Agent_57089","age_over65","BU05183488",76
"69279","Agent_69279","age_25_45","BU05183638",31
"58098","Agent_58098","age_0_15","BU05183489",13
"37390","Agent_37390","age_25_45","BU05183398",30
"58766","Agent_58766","age_0_15","BU05183489",7
"62979","Agent_62979","age_over65","BU05183489",69
"5624","Agent_5624","age_25_45","BU05183284",30
"22440","Agent_22440","age_45_65","BU05183387",50
"52867","Agent_52867","age_25_45","BU05183488",36
"13956","Agent_13956","age_over65","BU05183284",67
"11192","Agent_11192","age_45_65","BU05183284",50
"52001","Agent_52001","age_15_25","BU05183488",19
"19460","Agent_19460","age_25_45","BU05183387",27
"51739","Agent_51739","age_0_15","BU05183488",2
"2181","Agent_2181","age_0_15","BU05183284",13
"78466","Agent_78466","age_over65","BU05183639",66
"33512","Agent_33512","age_0_15","BU05183398",6
"37252","Agent_37252","age_25_45","BU05183398",37
"60433","Agent_60433","age_25_45","BU05183489",30
"57620","Agent_57620","age_over65","BU05183488",71
"21885","Agent_21885","age_45_65","BU05183387",58
"61506","Agent_61506","age_45_65","BU05183489",48
"68946","Agent_68946","age_15_25","BU05183638",15
"46519","Agent_46519","age_25_45","BU05183480",40
"68610","Agent_68610","age_15_25","BU05183638",20
"57861","Agent_57861","age_0_15","BU05183489",14
"42143","Agent_42143","age_over65","BU05183398",80
"7152","Agent_7152","age_25_45","BU05183284",37
"68649","Agent_68649","age_15_25","BU05183638",24
"34754","Agent_34754","age_15_25","BU05183398",16
"43191","Agent_43191","age_45_65","BU05183399",55
"61430","Agent_61430","age_45_65","BU05183489",63
"56734","Agent_56734","age_over65","BU05183488",78
"7773","Agent_7773","age_25_45","BU05183284",28
"66699","Agent_66699","age_over65","BU05183620",67
"43556","Agent_43556","age_over65","BU05183399",68
"17009","Agent_17009","age_15_25","BU05183387",21
"38053","Agent_38053","age_25_45","BU05183398",30
"53643","Agent_53643","age_25_45","BU05183488",33
"44417","Agent_44417","age_0_15","BU05183480",13
"42269","Agent_42269","age_over65","BU05183398",72
"39065","Agent_39065","age_45_65","BU05183398",50
"65361","Agent_65361","age_25_45","BU05183620",31
"47700","Agent_47700","age_25_45","BU05183480",30
"32988","Agent_32988","age_0_15","BU05183398",7
"53845","Agent_53845","age_25_45","BU05183488",38
"16403","Agent_16403","age_0_15","BU05183387",5
"54892","Agent_54892","age_25_45","BU05183488",41
"33328","Agent_33328","age_0_15","BU05183398",12
"75268","Agent_75268","age_15_25","BU05183639",19
"77184","Agent_77184","age_25_45","BU05183639",25
"21076","Agent_21076","age_45_65","BU05183387",50
"49248","Agent_49248","age_45_65","BU05183480",54
"13628","Agent_13628","age_over65","BU05183284",83
"39064","Agent_39064","age_45_65","BU05183398",56
"32493","Agent_32493","age_0_15","BU05183398",3
"66682","Agent_66682","age_over65","BU05183620",79
"33346","Agent_33346","age_0_15","BU05183398",2
"75285","Agent_75285","age_15_25","BU05183639",23
"43962","Agent_43962","age_over65","BU05183399",79
"58411","Agent_58411","age_0_15","BU05183489",14
"53118","Agent_53118","age_25_45","BU05183488",33
"61039","Agent_61039","age_25_45","BU05183489",41
"31645","Agent_31645","age_over65","BU05183396",68
"54516","Agent_54516","age_25_45","BU05183488",34
"54534","Agent_54534","age_25_45","BU05183488",33
"11021","Agent_11021","age_45_65","BU05183284",49
"20862","Agent_20862","age_45_65","BU05183387",46
"7630","Agent_7630","age_25_45","BU05183284",35
"2271","Agent_2271","age_15_25","BU05183284",24
"45446","Agent_45446","age_15_25","BU05183480",22
"43509","Agent_43509","age_45_65","BU05183399",58
"30006","Agent_30006","age_45_65","BU05183396",58
"63254","Agent_63254","age_over65","BU05183489",74
"61989","Agent_61989","age_45_65","BU05183489",60
"28257","Agent_28257","age_25_45","BU05183396",36
"40543","Agent_40543","age_45_65","BU05183398",54
"72611","Agent_72611","age_45_65","BU05183638",53
"33664","Agent_33664","age_0_15","BU05183398",10
"3284","Agent_3284","age_15_25","BU05183284",17
"28615","Agent_28615","age_25_45","BU05183396",40
"56489","Agent_56489","age_45_65","BU05183488",53
"43995","Agent_43995","age_over65","BU05183399",85
"49082","Agent_49082","age_45_65","BU05183480",48
"70770","Agent_70770","age_25_45","BU05183638",37
"11130","Agent_11130","age_45_65","BU05183284",47
"20465","Agent_20465","age_25_45","BU05183387",28
"5859","Agent_5859","age_25_45","BU05183284",31
"3759","Agent_3759","age_15_25","BU05183284",15
"39182","Agent_39182","age_45_65","BU05183398",59
"50989","Agent_50989","age_0_15","BU05183488",5
"15810","Agent_15810","age_0_15","BU05183387",6
"9777","Agent_9777","age_45_65","BU05183284",48
"43221","Agent_43221","age_45_65","BU05183399",51
"42025","Agent_42025","age_over65","BU05183398",73
"22448","Agent_22448","age_45_65","BU05183387",55
"58644","Agent_58644","age_0_15","BU05183489",0
"53289","Agent_53289","age_25_45","BU05183488",31
"10033","Agent_10033","age_45_65","BU05183284",57
"50540","Agent_50540","age_0_15","BU05183488",6
"13501","Agent_13501","age_over65","BU05183284",68
"34143","Agent_34143","age_15_25","BU05183398",23
"54696","Agent_54696","age_25_45","BU05183488",26
"62970","Agent_62970","age_over65","BU05183489",81
"12220","Agent_12220","age_45_65","BU05183284",59
"34054","Agent_34054","age_15_25","BU05183398",16
"17837","Agent_17837","age_15_25","BU05183387",23
"8800","Agent_8800","age_45_65","BU05183284",46
"9169","Agent_9169","age_45_65","BU05183284",64
"65277","Agent_65277","age_25_45","BU05183620",33
"75365","Agent_75365","age_15_25","BU05183639",21
"78228","Agent_78228","age_45_65","BU05183639",52
"33089","Agent_33089","age_0_15","BU05183398",5
"64543","Agent_64543","age_15_25","BU05183620",17
"15925","Agent_15925","age_0_15","BU05183387",3
"51311","Agent_51311","age_0_15","BU05183488",12
"9530","Agent_9530","age_45_65","BU05183284",47
"4859","Agent_4859","age_25_45","BU05183284",32
"8731","Agent_8731","age_45_65","BU05183284",51
"8796","Agent_8796","age_45_65","BU05183284",54
"15546","Agent_15546","age_0_15","BU05183387",1
"46548","Agent_46548","age_25_45","BU05183480",35
"28758","Agent_28758","age_25_45","BU05183396",37
"60025","Agent_60025","age_25_45","BU05183489",41
"52731","Agent_52731","age_25_45","BU05183488",34
"3654","Agent_3654","age_15_25","BU05183284",20
"44341","Agent_44341","age_0_15","BU05183480",0
"37675","Agent_37675","age_25_45","BU05183398",37
"66037","Agent_66037","age_45_65","BU05183620",52
"28631","Agent_28631","age_25_45","BU05183396",32
"20780","Agent_20780","age_45_65","BU05183387",63
"44648","Agent_44648","age_0_15","BU05183480",7
"24855","Agent_24855","age_0_15","BU05183396",2
"24159","Agent_24159","age_0_15","BU05183396",2
"18270","Agent_18270","age_25_45","BU05183387",34
"48927","Agent_48927","age_45_65","BU05183480",49
"2704","Agent_2704","age_15_25","BU05183284",16
"49097","Agent_49097","age_45_65","BU05183480",48
"9335","Agent_9335","age_45_65","BU05183284",51
"65597","Agent_65597","age_25_45","BU05183620",27
"30453","Agent_30453","age_45_65","BU05183396",57
"22975","Agent_22975","age_over65","BU05183387",68
"18044","Agent_18044","age_25_45","BU05183387",37
"14629","Agent_14629","age_over65","BU05183284",69
"56425","Agent_56425","age_45_65","BU05183488",47
"18522","Agent_18522","age_25_45","BU05183387",25
"40067","Agent_40067","age_45_65","BU05183398",57
"46615","Agent_46615","age_25_45","BU05183480",39
"37044","Agent_37044","age_25_45","BU05183398",25
"16528","Agent_16528","age_0_15","BU05183387",1
"69776","Agent_69776","age_25_45","BU05183638",36
"22742","Agent_22742","age_over65","BU05183387",67
"46967","Agent_46967","age_25_45","BU05183480",26
"31653","Agent_31653","age_over65","BU05183396",72
"14429","Agent_14429","age_over65","BU05183284",72
"50103","Agent_50103","age_over65","BU05183480",72
"57201","Agent_57201","age_over65","BU05183488",67
"8184","Agent_8184","age_25_45","BU05183284",35
"40702","Agent_40702","age_45_65","BU05183398",62
"14444","Agent_14444","age_over65","BU05183284",75
"14454","Agent_14454","age_over65","BU05183284",66
"40774","Agent_40774","age_45_65","BU05183398",46
"16446","Agent_16446","age_0_15","BU05183387",6
"73006","Agent_73006","age_45_65","BU05183638",50
"37739","Agent_37739","age_25_45","BU05183398",29
"50009","Agent_50009","age_over65","BU05183480",80
"36097","Agent_36097","age_25_45","BU05183398",36
"8947","Agent_8947","age_45_65","BU05183284",55
"31895","Agent_31895","age_0_15","BU05183398",4
"63671","Agent_63671","age_0_15","BU05183620",10
"73013","Agent_73013","age_45_65","BU05183638",49
"69579","Agent_69579","age_25_45","BU05183638",28
"30526","Agent_30526","age_45_65","BU05183396",61
"34364","Agent_34364","age_15_25","BU05183398",21
"7900","Agent_7900","age_25_45","BU05183284",27
"77135","Agent_77135","age_25_45","BU05183639",25
"55643","Agent_55643","age_45_65","BU05183488",54
"62675","Agent_62675","age_over65","BU05183489",66
"12105","Agent_12105","age_45_65","BU05183284",46
"46663","Agent_46663","age_25_45","BU05183480",25
"57905","Agent_57905","age_0_15","BU05183489",7
"66990","Agent_66990","age_0_15","BU05183638",4
"32792","Agent_32792","age_0_15","BU05183398",4
"6020","Agent_6020","age_25_45","BU05183284",25
"40239","Agent_40239","age_45_65","BU05183398",47
"21185","Agent_21185","age_45_65","BU05183387",49
"11849","Agent_11849","age_45_65","BU05183284",49
"25369","Agent_25369","age_0_15","BU05183396",7
"28926","Agent_28926","age_45_65","BU05183396",53
"64931","Agent_64931","age_25_45","BU05183620",41
"43229","Agent_43229","age_45_65","BU05183399",64
"61234","Agent_61234","age_25_45","BU05183489",26
"53940","Agent_53940","age_25_45","BU05183488",26
"11600","Agent_11600","age_45_65","BU05183284",48
"29674","Agent_29674","age_45_65","BU05183396",57
"42236","Agent_42236","age_over65","BU05183398",73
"69687","Agent_69687","age_25_45","BU05183638",28
"58372","Agent_58372","age_0_15","BU05183489",8
"16048","Agent_16048","age_0_15","BU05183387",3
"27599","Agent_27599","age_25_45","BU05183396",25
"60492","Agent_60492","age_25_45","BU05183489",30
"44783","Agent_44783","age_0_15","BU05183480",7
"5142","Agent_5142","age_25_45","BU05183284",35
"72605","Agent_72605","age_45_65","BU05183638",52
"43683","Agent_43683","age_over65","BU05183399",90
"59181","Agent_59181","age_15_25","BU05183489",18
"29015","Agent_29015","age_45_65","BU05183396",48
"50133","Agent_50133","age_over65","BU05183480",75
"72301","Agent_72301","age_45_65","BU05183638",59
"31905","Agent_31905","age_0_15","BU05183398",13
"33877","Agent_33877","age_0_15","BU05183398",1
"74233","Agent_74233","age_0_15","BU05183639",7
"7890","Agent_7890","age_25_45","BU05183284",33
"25744","Agent_25744","age_15_25","BU05183396",15
"25030","Agent_25030","age_0_15","BU05183396",9
"56578","Agent_56578","age_45_65","BU05183488",59
"50375","Agent_50375","age_0_15","BU05183488",3
"52320","Agent_52320","age_15_25","BU05183488",21
"9348","Agent_9348","age_45_65","BU05183284",45
"15515","Agent_15515","age_0_15","BU05183387",6
"62038","Agent_62038","age_45_65","BU05183489",55
"7525","Agent_7525","age_25_45","BU05183284",29
"56722","Agent_56722","age_45_65","BU05183488",46
"901","Agent_901","age_0_15","BU05183284",5
"15620","Agent_15620","age_0_15","BU05183387",7
"19948","Agent_19948","age_25_45","BU05183387",39
"7700","Agent_7700","age_25_45","BU05183284",44
"58908","Agent_58908","age_15_25","BU05183489",18
"24941","Agent_24941","age_0_15","BU05183396",10
"55931","Agent_55931","age_45_65","BU05183488",52
"46712","Agent_46712","age_25_45","BU05183480",32
"48639","Agent_48639","age_45_65","BU05183480",58
"54643","Agent_54643","age_25_45","BU05183488",44
"40662","Agent_40662","age_45_65","BU05183398",56
"32781","Agent_32781","age_0_15","BU05183398",11
"21362","Agent_21362","age_45_65","BU05183387",57
"37616","Agent_37616","age_25_45","BU05183398",33
"20112","Agent_20112","age_25_45","BU05183387",43
"65677","Agent_65677","age_25_45","BU05183620",36
"46497","Agent_46497","age_25_45","BU05183480",28
"65033","Agent_65033","age_25_45","BU05183620",39
"53649","Agent_53649","age_25_45","BU05183488",36
"23314","Agent_23314","age_over65","BU05183387",72
"28905","Agent_28905","age_45_65","BU05183396",49
"1843","Agent_1843","age_0_15","BU05183284",4
"55056","Agent_55056","age_45_65","BU05183488",58
"45027","Agent_45027","age_0_15","BU05183480",9
"30336","Agent_30336","age_45_65","BU05183396",53
"35749","Agent_35749","age_25_45","BU05183398",28
"73270","Agent_73270","age_over65","BU05183638",80
"31634","Agent_31634","age_over65","BU05183396",95
"1261","Agent_1261","age_0_15","BU05183284",1
"18269","Agent_18269","age_25_45","BU05183387",32
"43570","Agent_43570","age_over65","BU05183399",66
"39972","Agent_39972","age_45_65","BU05183398",61
"66041","Agent_66041","age_45_65","BU05183620",48
"27224","Agent_27224","age_25_45","BU05183396",36
"57020","Agent_57020","age_over65","BU05183488",65
"43770","Agent_43770","age_over65","BU05183399",87
"58060","Agent_58060","age_0_15","BU05183489",8
"57790","Agent_57790","age_over65","BU05183488",80
"26713","Agent_26713","age_25_45","BU05183396",37
"34475","Agent_34475","age_15_25","BU05183398",17
"8433","Agent_8433","age_45_65","BU05183284",46
"13284","Agent_13284","age_over65","BU05183284",90
"37764","Agent_37764","age_25_45","BU05183398",27
"31549","Agent_31549","age_over65","BU05183396",92
"77709","Agent_77709","age_45_65","BU05183639",46
"42420","Agent_42420","age_over65","BU05183398",69
"21244","Agent_21244","age_45_65","BU05183387",56
"12278","Agent_12278","age_45_65","BU05183284",46
"67061","Agent_67061","age_0_15","BU05183638",6
"42255","Agent_42255","age_over65","BU05183398",68
"25176","Agent_25176","age_0_15","BU05183396",11
"40314","Agent_40314","age_45_65","BU05183398",52
"54204","Agent_54204","age_25_45","BU05183488",43
"22126","Agent_22126","age_45_65","BU05183387",45
"49612","Agent_49612","age_45_65","BU05183480",50
"59326","Agent_59326","age_15_25","BU05183489",23
"68306","Agent_68306","age_15_25","BU05183638",16
"1210","Agent_1210","age_0_15","BU05183284",0
"10762","Agent_10762","age_45_65","BU05183284",49
"24413","Agent_24413","age_0_15","BU05183396",4
"35441","Agent_35441","age_25_45","BU05183398",32
"17656","Agent_17656","age_15_25","BU05183387",24
"38976","Agent_38976","age_45_65","BU05183398",52
"33465","Agent_33465","age_0_15","BU05183398",8
"5554","Agent_5554","age_25_45","BU05183284",28
"1302","Agent_1302","age_0_15","BU05183284",11
"35406","Agent_35406","age_25_45","BU05183398",31
"72949","Agent_72949","age_45_65","BU05183638",58
"20390","Agent_20390","age_25_45","BU05183387",40
"75872","Agent_75872","age_25_45","BU05183639",37
"67306","Agent_67306","age_0_15","BU05183638",14
"42474","Agent_42474","age_over65","BU05183398",71
"71737","Agent_71737","age_45_65","BU05183638",56
"49347","Agent_49347","age_45_65","BU05183480",54
"48459","Agent_48459","age_45_65","BU05183480",53
"56553","Agent_56553","age_45_65","BU05183488",64
"73623","Agent_73623","age_over65","BU05183638",86
"20306","Agent_20306","age_25_45","BU05183387",28
"22834","Agent_22834","age_over65","BU05183387",71
"54513","Agent_54513","age_25_45","BU05183488",44
"8139","Agent_8139","age_25_45","BU05183284",30
"7529","Agent_7529","age_25_45","BU05183284",33
"3063","Agent_3063","age_15_25","BU05183284",24
"37609","Agent_37609","age_25_45","BU05183398",35
"78600","Agent_78600","age_over65","BU05183639",68
"47452","Agent_47452","age_25_45","BU05183480",35
"73063","Agent_73063","age_45_65","BU05183638",52
"74199","Agent_74199","age_0_15","BU05183639",8
"76947","Agent_76947","age_25_45","BU05183639",26
"20534","Agent_20534","age_25_45","BU05183387",35
"50395","Agent_50395","age_0_15","BU05183488",0
"54788","Agent_54788","age_25_45","BU05183488",33
"70834","Agent_70834","age_25_45","BU05183638",31
"35695","Agent_35695","age_25_45","BU05183398",34
"44295","Agent_44295","age_0_15","BU05183480",8
"32691","Agent_32691","age_0_15","BU05183398",7
"75459","Agent_75459","age_15_25","BU05183639",16
"41462","Agent_41462","age_over65","BU05183398",80
"39643","Agent_39643","age_45_65","BU05183398",61
"74187","Agent_74187","age_0_15","BU05183639",6
"11465","Agent_11465","age_45_65","BU05183284",62
"26541","Agent_26541","age_25_45","BU05183396",34
"59068","Agent_59068","age_15_25","BU05183489",21
"71553","Agent_71553","age_45_65","BU05183638",60
"65337","Agent_65337","age_25_45","BU05183620",37
"6515","Agent_6515","age_25_45","BU05183284",34
"48616","Agent_48616","age_45_65","BU05183480",57
"31548","Agent_31548","age_over65","BU05183396",72
"35503","Agent_35503","age_25_45","BU05183398",29
"5158","Agent_5158","age_25_45","BU05183284",36
"66724","Agent_66724","age_over65","BU05183620",75
"58221","Agent_58221","age_0_15","BU05183489",14
"78545","Agent_78545","age_over65","BU05183639",79
"14208","Agent_14208","age_over65","BU05183284",67
"62915","Agent_62915","age_over65","BU05183489",68
"76784","Agent_76784","age_25_45","BU05183639",32
"36264","Agent_36264","age_25_45","BU05183398",36
"29465","Agent_29465","age_45_65","BU05183396",51
"46777","Agent_46777","age_25_45","BU05183480",41
"20851","Agent_20851","age_45_65","BU05183387",58
"41509","Agent_41509","age_over65","BU05183398",74
"5601","Agent_5601","age_25_45","BU05183284",43
"5059","Agent_5059","age_25_45","BU05183284",30
"48720","Agent_48720","age_45_65","BU05183480",60
"66532","Agent_66532","age_over65","BU05183620",67
"53399","Agent_53399","age_25_45","BU05183488",31
"58207","Agent_58207","age_0_15","BU05183489",13
"40023","Agent_40023","age_45_65","BU05183398",51
"72890","Agent_72890","age_45_65","BU05183638",49
"14526","Agent_14526","age_over65","BU05183284",65
"8460","Agent_8460","age_45_65","BU05183284",46
"24531","Agent_24531","age_0_15","BU05183396",12
"30713","Agent_30713","age_45_65","BU05183396",47
"36894","Agent_36894","age_25_45","BU05183398",36
"59990","Agent_59990","age_25_45","BU05183489",42
"21306","Agent_21306","age_45_65","BU05183387",47
"47317","Agent_47317","age_25_45","BU05183480",35
"47101","Agent_47101","age_25_45","BU05183480",35
"31186","Agent_31186","age_over65","BU05183396",84
"76129","Agent_76129","age_25_45","BU05183639",44
"56987","Agent_56987","age_over65","BU05183488",90
"31007","Agent_31007","age_over65","BU05183396",77
"70866","Agent_70866","age_25_45","BU05183638",34
"14811","Agent_14811","age_over65","BU05183284",82
"33450","Agent_33450","age_0_15","BU05183398",8
"10590","Agent_10590","age_45_65","BU05183284",56
"8782","Agent_8782","age_45_65","BU05183284",47
"60138","Agent_60138","age_25_45","BU05183489",40
"1340","Agent_1340","age_0_15","BU05183284",10
"44815","Agent_44815","age_0_15","BU05183480",5
"37411","Agent_37411","age_25_45","BU05183398",31
"48621","Agent_48621","age_45_65","BU05183480",55
"33018","Agent_33018","age_0_15","BU05183398",9
"42021","Agent_42021","age_over65","BU05183398",72
"31543","Agent_31543","age_over65","BU05183396",83
"35547","Agent_35547","age_25_45","BU05183398",41
"20311","Agent_20311","age_25_45","BU05183387",25
"35312","Agent_35312","age_25_45","BU05183398",27
"16501","Agent_16501","age_0_15","BU05183387",11
"1801","Agent_1801","age_0_15","BU05183284",11
"15638","Agent_15638","age_0_15","BU05183387",0
"52720","Agent_52720","age_25_45","BU05183488",29
"73915","Agent_73915","age_0_15","BU05183639",6
"60266","Agent_60266","age_25_45","BU05183489",28
"56261","Agent_56261","age_45_65","BU05183488",59
"44248","Agent_44248","age_0_15","BU05183480",13
"45116","Agent_45116","age_0_15","BU05183480",10
"62839","Agent_62839","age_over65","BU05183489",92
"77240","Agent_77240","age_25_45","BU05183639",42
"67863","Agent_67863","age_0_15","BU05183638",2
"58996","Agent_58996","age_15_25","BU05183489",22
"36311","Agent_36311","age_25_45","BU05183398",28
"10487","Agent_10487","age_45_65","BU05183284",62
"5419","Agent_5419","age_25_45","BU05183284",42
"68326","Agent_68326","age_15_25","BU05183638",15
"16117","Agent_16117","age_0_15","BU05183387",0
"26669","Agent_26669","age_25_45","BU05183396",40
"70972","Agent_70972","age_25_45","BU05183638",30
"22952","Agent_22952","age_over65","BU05183387",74
"48146","Agent_48146","age_45_65","BU05183480",46
"77323","Agent_77323","age_25_45","BU05183639",26
"63382","Agent_63382","age_over65","BU05183489",65
"10239","Agent_10239","age_45_65","BU05183284",45
"13396","Agent_13396","age_over65","BU05183284",72
"2527","Agent_2527","age_15_25","BU05183284",24
"6478","Agent_6478","age_25_45","BU05183284",43
"72519","Agent_72519","age_45_65","BU05183638",59
"25585","Agent_25585","age_15_25","BU05183396",19
"7613","Agent_7613","age_25_45","BU05183284",31
"76100","Agent_76100","age_25_45","BU05183639",36
"74671","Agent_74671","age_0_15","BU05183639",4
"62344","Agent_62344","age_45_65","BU05183489",64
"68246","Agent_68246","age_15_25","BU05183638",20
"11448","Agent_11448","age_45_65","BU05183284",62
"10107","Agent_10107","age_45_65","BU05183284",59
"5668","Agent_5668","age_25_45","BU05183284",35
"1031","Agent_1031","age_0_15","BU05183284",9
"11961","Agent_11961","age_45_65","BU05183284",60
